YEAR,MONTH,STATE,FIRES,MEETING_DATE
2006,OCT,Distrito federal,1,2006-01-01
2007,OCT,Distrito federal,13,2007-01-01
2008,OCT,Distrito federal,6,2008-01-01
2009,OCT,Distrito federal,3,2009-01-01
2010,OCT,Distrito federal,6,2010-01-01
2011,OCT,Distrito federal,0,2011-01-01
2012,OCT,Distrito federal,15,2012-01-01
2013,OCT,Distrito federal,3,2013-01-01
2014,OCT,Distrito federal,34,2014-01-01
2015,OCT,Distrito federal,21,2015-01-01
2016,OCT,Distrito federal,9,2016-01-01
2017,OCT,Distrito federal,66,2017-01-01
1998,NOV,Distrito federal,0,1998-01-01
1999,NOV,Distrito federal,1,1999-01-01
2000,NOV,Distrito federal,0,2000-01-01
2001,NOV,Distrito federal,0,2001-01-01
2002,NOV,Distrito federal,1,2002-01-01
2003,NOV,Distrito federal,0,2003-01-01
2004,NOV,Distrito federal,0,2004-01-01
2005,NOV,Distrito federal,2,2005-01-01
2006,NOV,Distrito federal,0,2006-01-01
2007,NOV,Distrito federal,0,2007-01-01
2008,NOV,Distrito federal,4,2008-01-01
2009,NOV,Distrito federal,0,2009-01-01
2010,NOV,Distrito federal,0,2010-01-01
2011,NOV,Distrito federal,1,2011-01-01
2012,NOV,Distrito federal,0,2012-01-01
2013,NOV,Distrito federal,0,2013-01-01
2014,NOV,Distrito federal,0,2014-01-01
2015,NOV,Distrito federal,3,2015-01-01
2016,NOV,Distrito federal,1,2016-01-01
2017,NOV,Distrito federal,0,2017-01-01
1998,DEC,Distrito federal,0,1998-01-01
1999,DEC,Distrito federal,0,1999-01-01
2000,DEC,Distrito federal,0,2000-01-01
2001,DEC,Distrito federal,1,2001-01-01
2002,DEC,Distrito federal,1,2002-01-01
2003,DEC,Distrito federal,0,2003-01-01
2004,DEC,Distrito federal,0,2004-01-01
2005,DEC,Distrito federal,0,2005-01-01
2006,DEC,Distrito federal,0,2006-01-01
2007,DEC,Distrito federal,0,2007-01-01
2008,DEC,Distrito federal,0,2008-01-01
2009,DEC,Distrito federal,0,2009-01-01
2010,DEC,Distrito federal,1,2010-01-01
2011,DEC,Distrito federal,0,2011-01-01
2012,DEC,Distrito federal,0,2012-01-01
2013,DEC,Distrito federal,2,2013-01-01
2014,DEC,Distrito federal,0,2014-01-01
2015,DEC,Distrito federal,0,2015-01-01
2016,DEC,Distrito federal,0,2016-01-01
1998,JAN,Espirito santo,0,1998-01-01
1999,JAN,Espirito santo,36,1999-01-01
2000,JAN,Espirito santo,24,2000-01-01
2001,JAN,Espirito santo,18,2001-01-01
2002,JAN,Espirito santo,29,2002-01-01
2003,JAN,Espirito santo,0,2003-01-01
2004,JAN,Espirito santo,22,2004-01-01
2005,JAN,Espirito santo,28,2005-01-01
2006,JAN,Espirito santo,109,2006-01-01
2007,JAN,Espirito santo,91,2007-01-01
2008,JAN,Espirito santo,85,2008-01-01
2009,JAN,Espirito santo,74,2009-01-01
2010,JAN,Espirito santo,118,2010-01-01
2011,JAN,Espirito santo,61,2011-01-01
2012,JAN,Espirito santo,75,2012-01-01
2013,JAN,Espirito santo,75,2013-01-01
2014,JAN,Espirito santo,133,2014-01-01
2015,JAN,Espirito santo,147,2015-01-01
2016,JAN,Espirito santo,61,2016-01-01
2017,JAN,Espirito santo,0,2017-01-01
1998,FEB,Espirito santo,0,1998-01-01
1999,FEB,Espirito santo,112,1999-01-01
2000,FEB,Espirito santo,20,2000-01-01
2001,FEB,Espirito santo,39,2001-01-01
2002,FEB,Espirito santo,62,2002-01-01
2003,FEB,Espirito santo,126,2003-01-01
2004,FEB,Espirito santo,29,2004-01-01
2005,FEB,Espirito santo,79,2005-01-01
2006,FEB,Espirito santo,96,2006-01-01
2007,FEB,Espirito santo,71,2007-01-01
2008,FEB,Espirito santo,59,2008-01-01
2009,FEB,Espirito santo,74,2009-01-01
2010,FEB,Espirito santo,155,2010-01-01
2011,FEB,Espirito santo,111,2011-01-01
2012,FEB,Espirito santo,123,2012-01-01
2013,FEB,Espirito santo,143,2013-01-01
2014,FEB,Espirito santo,157,2014-01-01
2015,FEB,Espirito santo,84,2015-01-01
2016,FEB,Espirito santo,207,2016-01-01
2017,FEB,Espirito santo,61,2017-01-01
1998,MAR,Espirito santo,0,1998-01-01
1999,MAR,Espirito santo,13,1999-01-01
2000,MAR,Espirito santo,24,2000-01-01
2001,MAR,Espirito santo,13,2001-01-01
2002,MAR,Espirito santo,62,2002-01-01
2003,MAR,Espirito santo,81,2003-01-01
2004,MAR,Espirito santo,81,2004-01-01
2005,MAR,Espirito santo,107,2005-01-01
2006,MAR,Espirito santo,69,2006-01-01
2007,MAR,Espirito santo,155,2007-01-01
2008,MAR,Espirito santo,61,2008-01-01
2009,MAR,Espirito santo,106,2009-01-01
2010,MAR,Espirito santo,109,2010-01-01
2011,MAR,Espirito santo,67,2011-01-01
2012,MAR,Espirito santo,152,2012-01-01
2013,MAR,Espirito santo,110,2013-01-01
2014,MAR,Espirito santo,77,2014-01-01
2015,MAR,Espirito santo,80,2015-01-01
2016,MAR,Espirito santo,123,2016-01-01
2017,MAR,Espirito santo,105,2017-01-01
1998,APR,Espirito santo,0,1998-01-01
1999,APR,Espirito santo,27,1999-01-01
2000,APR,Espirito santo,49,2000-01-01
2001,APR,Espirito santo,60,2001-01-01
2002,APR,Espirito santo,99,2002-01-01
2003,APR,Espirito santo,215,2003-01-01
2004,APR,Espirito santo,48,2004-01-01
2005,APR,Espirito santo,89,2005-01-01
2006,APR,Espirito santo,50,2006-01-01
2007,APR,Espirito santo,35,2007-01-01
2008,APR,Espirito santo,113,2008-01-01
2009,APR,Espirito santo,26,2009-01-01
2010,APR,Espirito santo,112,2010-01-01
2011,APR,Espirito santo,66,2011-01-01
2012,APR,Espirito santo,180,2012-01-01
2013,APR,Espirito santo,61,2013-01-01
2014,APR,Espirito santo,161,2014-01-01
2015,APR,Espirito santo,109,2015-01-01
2016,APR,Espirito santo,172,2016-01-01
2017,APR,Espirito santo,69,2017-01-01
1998,MAY,Espirito santo,0,1998-01-01
1999,MAY,Espirito santo,51,1999-01-01
2000,MAY,Espirito santo,67,2000-01-01
2001,MAY,Espirito santo,83,2001-01-01
2002,MAY,Espirito santo,98,2002-01-01
2003,MAY,Espirito santo,75,2003-01-01
2004,MAY,Espirito santo,79,2004-01-01
2005,MAY,Espirito santo,134,2005-01-01
2006,MAY,Espirito santo,62,2006-01-01
2007,MAY,Espirito santo,124,2007-01-01
2008,MAY,Espirito santo,50,2008-01-01
2009,MAY,Espirito santo,128,2009-01-01
2010,MAY,Espirito santo,179,2010-01-01
2011,MAY,Espirito santo,151,2011-01-01
2012,MAY,Espirito santo,144,2012-01-01
2013,MAY,Espirito santo,150,2013-01-01
2014,MAY,Espirito santo,224,2014-01-01
2015,MAY,Espirito santo,114,2015-01-01
2016,MAY,Espirito santo,186,2016-01-01
2017,MAY,Espirito santo,0,2017-01-01
1998,JUNE,Espirito santo,70,1998-01-01
1999,JUNE,Espirito santo,132,1999-01-01
2000,JUNE,Espirito santo,135,2000-01-01
2001,JUNE,Espirito santo,166,2001-01-01
2002,JUNE,Espirito santo,207,2002-01-01
2003,JUNE,Espirito santo,245,2003-01-01
2004,JUNE,Espirito santo,209,2004-01-01
2005,JUNE,Espirito santo,246,2005-01-01
2006,JUNE,Espirito santo,73,2006-01-01
2007,JUNE,Espirito santo,184,2007-01-01
2008,JUNE,Espirito santo,48,2008-01-01
2009,JUNE,Espirito santo,173,2009-01-01
2010,JUNE,Espirito santo,139,2010-01-01
2011,JUNE,Espirito santo,304,2011-01-01
2012,JUNE,Espirito santo,219,2012-01-01
2013,JUNE,Espirito santo,144,2013-01-01
2014,JUNE,Espirito santo,376,2014-01-01
2015,JUNE,Espirito santo,200,2015-01-01
2016,JUNE,Espirito santo,263,2016-01-01
2017,JUNE,Espirito santo,360,2017-01-01
1998,JULY,Espirito santo,232,1998-01-01
1999,JULY,Espirito santo,318,1999-01-01
2000,JULY,Espirito santo,345,2000-01-01
2001,JULY,Espirito santo,266,2001-01-01
2002,JULY,Espirito santo,741,2002-01-01
2003,JULY,Espirito santo,407,2003-01-01
2004,JULY,Espirito santo,625,2004-01-01
2005,JULY,Espirito santo,467,2005-01-01
2006,JULY,Espirito santo,336,2006-01-01
2007,JULY,Espirito santo,446,2007-01-01
2008,JULY,Espirito santo,0,2008-01-01
2009,JULY,Espirito santo,477,2009-01-01
2010,JULY,Espirito santo,707,2010-01-01
2011,JULY,Espirito santo,801,2011-01-01
2012,JULY,Espirito santo,669,2012-01-01
2013,JULY,Espirito santo,462,2013-01-01
2014,JULY,Espirito santo,559,2014-01-01
2015,JULY,Espirito santo,288,2015-01-01
2016,JULY,Espirito santo,1,2016-01-01
2017,JULY,Espirito santo,610,2017-01-01
1998,AUG,Espirito santo,875,1998-01-01
1999,AUG,Espirito santo,0,1999-01-01
2000,AUG,Espirito santo,769,2000-01-01
2001,AUG,Espirito santo,858,2001-01-01
2002,AUG,Espirito santo,2,2002-01-01
2003,AUG,Espirito santo,2,2003-01-01
2004,AUG,Espirito santo,2,2004-01-01
2005,AUG,Espirito santo,1,2005-01-01
2006,AUG,Espirito santo,959,2006-01-01
2007,AUG,Espirito santo,3,2007-01-01
2008,AUG,Espirito santo,605,2008-01-01
2009,AUG,Espirito santo,685,2009-01-01
2010,AUG,Espirito santo,3,2010-01-01
2011,AUG,Espirito santo,3,2011-01-01
2012,AUG,Espirito santo,901,2012-01-01
2013,AUG,Espirito santo,911,2013-01-01
2014,AUG,Espirito santo,2,2014-01-01
2015,AUG,Espirito santo,1,2015-01-01
2016,AUG,Espirito santo,1,2016-01-01
2017,AUG,Espirito santo,2,2017-01-01
1998,SEPT,Espirito santo,2,1998-01-01
1999,SEPT,Espirito santo,0,1999-01-01
2000,SEPT,Espirito santo,1,2000-01-01
2001,SEPT,Espirito santo,2,2001-01-01
2002,SEPT,Espirito santo,3,2002-01-01
2003,SEPT,Espirito santo,7,2003-01-01
2004,SEPT,Espirito santo,4,2004-01-01
2005,SEPT,Espirito santo,0,2005-01-01
2006,SEPT,Espirito santo,3,2006-01-01
2007,SEPT,Espirito santo,5,2007-01-01
2008,SEPT,Espirito santo,3,2008-01-01
2009,SEPT,Espirito santo,1,2009-01-01
2010,SEPT,Espirito santo,0,2010-01-01
2011,SEPT,Espirito santo,6,2011-01-01
2012,SEPT,Espirito santo,3,2012-01-01
2013,SEPT,Espirito santo,2,2013-01-01
2014,SEPT,Espirito santo,3,2014-01-01
2015,SEPT,Espirito santo,3,2015-01-01
2016,SEPT,Espirito santo,2,2016-01-01
2017,SEPT,Espirito santo,5,2017-01-01
1998,OCT,Espirito santo,1,1998-01-01
1999,OCT,Espirito santo,1,1999-01-01
2000,OCT,Espirito santo,2,2000-01-01
2001,OCT,Espirito santo,528,2001-01-01
2002,OCT,Espirito santo,5,2002-01-01
2003,OCT,Espirito santo,5,2003-01-01
2004,OCT,Espirito santo,3,2004-01-01
2005,OCT,Espirito santo,7,2005-01-01
2006,OCT,Espirito santo,616,2006-01-01
2007,OCT,Espirito santo,3,2007-01-01
2008,OCT,Espirito santo,4,2008-01-01
2009,OCT,Espirito santo,1,2009-01-01
2010,OCT,Espirito santo,2,2010-01-01
2011,OCT,Espirito santo,1,2011-01-01
2012,OCT,Espirito santo,4,2012-01-01
2013,OCT,Espirito santo,1,2013-01-01
2014,OCT,Espirito santo,5,2014-01-01
2015,OCT,Espirito santo,4,2015-01-01
2016,OCT,Espirito santo,948,2016-01-01
2017,OCT,Espirito santo,3,2017-01-01
1998,NOV,Espirito santo,32,1998-01-01
1999,NOV,Espirito santo,271,1999-01-01
2000,NOV,Espirito santo,43,2000-01-01
2001,NOV,Espirito santo,62,2001-01-01
2002,NOV,Espirito santo,417,2002-01-01
2003,NOV,Espirito santo,399,2003-01-01
2004,NOV,Espirito santo,914,2004-01-01
2005,NOV,Espirito santo,422,2005-01-01
2006,NOV,Espirito santo,59,2006-01-01
2007,NOV,Espirito santo,1,2007-01-01
2008,NOV,Espirito santo,892,2008-01-01
2009,NOV,Espirito santo,246,2009-01-01
2010,NOV,Espirito santo,82,2010-01-01
2011,NOV,Espirito santo,153,2011-01-01
2012,NOV,Espirito santo,220,2012-01-01
2013,NOV,Espirito santo,277,2013-01-01
2014,NOV,Espirito santo,398,2014-01-01
2015,NOV,Espirito santo,1,2015-01-01
2016,NOV,Espirito santo,126,2016-01-01
2017,NOV,Espirito santo,136,2017-01-01
1998,DEC,Espirito santo,21,1998-01-01
1999,DEC,Espirito santo,32,1999-01-01
2000,DEC,Espirito santo,14,2000-01-01
2001,DEC,Espirito santo,44,2001-01-01
2002,DEC,Espirito santo,225,2002-01-01
2003,DEC,Espirito santo,225,2003-01-01
2004,DEC,Espirito santo,125,2004-01-01
2005,DEC,Espirito santo,65,2005-01-01
2006,DEC,Espirito santo,32,2006-01-01
2007,DEC,Espirito santo,95,2007-01-01
2008,DEC,Espirito santo,25,2008-01-01
2009,DEC,Espirito santo,108,2009-01-01
2010,DEC,Espirito santo,105,2010-01-01
2011,DEC,Espirito santo,43,2011-01-01
2012,DEC,Espirito santo,189,2012-01-01
2013,DEC,Espirito santo,98,2013-01-01
2014,DEC,Espirito santo,155,2014-01-01
2015,DEC,Espirito santo,295,2015-01-01
2016,DEC,Espirito santo,91,2016-01-01
1998,JAN,Goias,0,1998-01-01
1999,JAN,Goias,11,1999-01-01
2000,JAN,Goias,14,2000-01-01
2001,JAN,Goias,11,2001-01-01
2002,JAN,Goias,22,2002-01-01
2003,JAN,Goias,45,2003-01-01
2004,JAN,Goias,37,2004-01-01
2005,JAN,Goias,46,2005-01-01
2006,JAN,Goias,41,2006-01-01
2007,JAN,Goias,9,2007-01-01
2008,JAN,Goias,25,2008-01-01
2009,JAN,Goias,21,2009-01-01
2010,JAN,Goias,2,2010-01-01
2011,JAN,Goias,9,2011-01-01
2012,JAN,Goias,14,2012-01-01
2013,JAN,Goias,18,2013-01-01
2014,JAN,Goias,58,2014-01-01
2015,JAN,Goias,28,2015-01-01
2016,JAN,Goias,53,2016-01-01
2017,JAN,Goias,46,2017-01-01
1998,FEB,Goias,0,1998-01-01
1999,FEB,Goias,2,1999-01-01
2000,FEB,Goias,8,2000-01-01
2001,FEB,Goias,0,2001-01-01
2002,FEB,Goias,5,2002-01-01
2003,FEB,Goias,43,2003-01-01
2004,FEB,Goias,29,2004-01-01
2005,FEB,Goias,46,2005-01-01
2006,FEB,Goias,18,2006-01-01
2007,FEB,Goias,14,2007-01-01
2008,FEB,Goias,29,2008-01-01
2009,FEB,Goias,7,2009-01-01
2010,FEB,Goias,15,2010-01-01
2011,FEB,Goias,1,2011-01-01
2012,FEB,Goias,13,2012-01-01
2013,FEB,Goias,12,2013-01-01
2014,FEB,Goias,27,2014-01-01
2015,FEB,Goias,23,2015-01-01
2016,FEB,Goias,10,2016-01-01
2017,FEB,Goias,31,2017-01-01
1998,MAR,Goias,0,1998-01-01
1999,MAR,Goias,7,1999-01-01
2000,MAR,Goias,46,2000-01-01
2001,MAR,Goias,1,2001-01-01
2002,MAR,Goias,12,2002-01-01
2003,MAR,Goias,58,2003-01-01
2004,MAR,Goias,73,2004-01-01
2005,MAR,Goias,92,2005-01-01
2006,MAR,Goias,48,2006-01-01
2007,MAR,Goias,23,2007-01-01
2008,MAR,Goias,14,2008-01-01
2009,MAR,Goias,33,2009-01-01
2010,MAR,Goias,9,2010-01-01
2011,MAR,Goias,8,2011-01-01
2012,MAR,Goias,65,2012-01-01
2013,MAR,Goias,14,2013-01-01
2014,MAR,Goias,15,2014-01-01
2015,MAR,Goias,37,2015-01-01
2016,MAR,Goias,21,2016-01-01
2017,MAR,Goias,12,2017-01-01
1998,APR,Goias,0,1998-01-01
1999,APR,Goias,0,1999-01-01
2000,APR,Goias,7,2000-01-01
2001,APR,Goias,1,2001-01-01
2002,APR,Goias,7,2002-01-01
2003,APR,Goias,120,2003-01-01
2004,APR,Goias,59,2004-01-01
2005,APR,Goias,25,2005-01-01
2006,APR,Goias,30,2006-01-01
2007,APR,Goias,2,2007-01-01
2008,APR,Goias,31,2008-01-01
2009,APR,Goias,57,2009-01-01
2010,APR,Goias,19,2010-01-01
2011,APR,Goias,5,2011-01-01
2012,APR,Goias,40,2012-01-01
2013,APR,Goias,46,2013-01-01
2014,APR,Goias,34,2014-01-01
2015,APR,Goias,32,2015-01-01
2016,APR,Goias,36,2016-01-01
2017,APR,Goias,26,2017-01-01
1998,MAY,Goias,0,1998-01-01
1999,MAY,Goias,1,1999-01-01
2000,MAY,Goias,0,2000-01-01
2001,MAY,Goias,2,2001-01-01
2002,MAY,Goias,3,2002-01-01
2003,MAY,Goias,84,2003-01-01
2004,MAY,Goias,2,2004-01-01
2005,MAY,Goias,21,2005-01-01
2006,MAY,Goias,33,2006-01-01
2007,MAY,Goias,2,2007-01-01
2008,MAY,Goias,15,2008-01-01
2009,MAY,Goias,33,2009-01-01
2010,MAY,Goias,1,2010-01-01
2011,MAY,Goias,16,2011-01-01
2012,MAY,Goias,60,2012-01-01
2013,MAY,Goias,52,2013-01-01
2014,MAY,Goias,42,2014-01-01
2015,MAY,Goias,70,2015-01-01
2016,MAY,Goias,26,2016-01-01
2017,MAY,Goias,36,2017-01-01
1998,JUNE,Goias,2,1998-01-01
1999,JUNE,Goias,0,1999-01-01
2000,JUNE,Goias,2,2000-01-01
2001,JUNE,Goias,1,2001-01-01
2002,JUNE,Goias,0,2002-01-01
2003,JUNE,Goias,68,2003-01-01
2004,JUNE,Goias,127,2004-01-01
2005,JUNE,Goias,58,2005-01-01
2006,JUNE,Goias,32,2006-01-01
2007,JUNE,Goias,11,2007-01-01
2008,JUNE,Goias,2,2008-01-01
2009,JUNE,Goias,14,2009-01-01
2010,JUNE,Goias,1,2010-01-01
2011,JUNE,Goias,26,2011-01-01
2012,JUNE,Goias,42,2012-01-01
2013,JUNE,Goias,31,2013-01-01
2014,JUNE,Goias,3,2014-01-01
2015,JUNE,Goias,104,2015-01-01
2016,JUNE,Goias,79,2016-01-01
2017,JUNE,Goias,70,2017-01-01
1998,JULY,Goias,0,1998-01-01
1999,JULY,Goias,2,1999-01-01
2000,JULY,Goias,21,2000-01-01
2001,JULY,Goias,5,2001-01-01
2002,JULY,Goias,82,2002-01-01
2003,JULY,Goias,43,2003-01-01
2004,JULY,Goias,94,2004-01-01
2005,JULY,Goias,90,2005-01-01
2006,JULY,Goias,74,2006-01-01
2007,JULY,Goias,12,2007-01-01
2008,JULY,Goias,46,2008-01-01
2009,JULY,Goias,26,2009-01-01
2010,JULY,Goias,31,2010-01-01
2011,JULY,Goias,31,2011-01-01
2012,JULY,Goias,42,2012-01-01
2013,JULY,Goias,69,2013-01-01
2014,JULY,Goias,82,2014-01-01
2015,JULY,Goias,45,2015-01-01
2016,JULY,Goias,480,2016-01-01
2017,JULY,Goias,591,2017-01-01
1998,AUG,Goias,0,1998-01-01
1999,AUG,Goias,51,1999-01-01
2000,AUG,Goias,69,2000-01-01
2001,AUG,Goias,24,2001-01-01
2002,AUG,Goias,702,2002-01-01
2003,AUG,Goias,2,2003-01-01
2004,AUG,Goias,728,2004-01-01
2005,AUG,Goias,391,2005-01-01
2006,AUG,Goias,728,2006-01-01
2007,AUG,Goias,462,2007-01-01
2008,AUG,Goias,0,2008-01-01
2009,AUG,Goias,759,2009-01-01
2010,AUG,Goias,511,2010-01-01
2011,AUG,Goias,175,2011-01-01
2012,AUG,Goias,398,2012-01-01
2013,AUG,Goias,236,2013-01-01
2014,AUG,Goias,459,2014-01-01
2015,AUG,Goias,379,2015-01-01
2016,AUG,Goias,0,2016-01-01
2017,AUG,Goias,713,2017-01-01
1998,SEPT,Goias,6,1998-01-01
1999,SEPT,Goias,101,1999-01-01
2000,SEPT,Goias,36,2000-01-01
2001,SEPT,Goias,18,2001-01-01
2002,SEPT,Goias,416,2002-01-01
2003,SEPT,Goias,1,2003-01-01
2004,SEPT,Goias,755,2004-01-01
2005,SEPT,Goias,116,2005-01-01
2006,SEPT,Goias,530,2006-01-01
2007,SEPT,Goias,617,2007-01-01
2008,SEPT,Goias,233,2008-01-01
2009,SEPT,Goias,47,2009-01-01
2010,SEPT,Goias,198,2010-01-01
2011,SEPT,Goias,450,2011-01-01
2012,SEPT,Goias,188,2012-01-01
2013,SEPT,Goias,303,2013-01-01
2014,SEPT,Goias,208,2014-01-01
2015,SEPT,Goias,156,2015-01-01
2016,SEPT,Goias,644,2016-01-01
2017,SEPT,Goias,626,2017-01-01
1998,OCT,Goias,4,1998-01-01
1999,OCT,Goias,16,1999-01-01
2000,OCT,Goias,55,2000-01-01
2001,OCT,Goias,26,2001-01-01
2002,OCT,Goias,42,2002-01-01
2003,OCT,Goias,669,2003-01-01
2004,OCT,Goias,704,2004-01-01
2005,OCT,Goias,197,2005-01-01
2006,OCT,Goias,269,2006-01-01
2007,OCT,Goias,35,2007-01-01
2008,OCT,Goias,56,2008-01-01
2009,OCT,Goias,252,2009-01-01
2010,OCT,Goias,76,2010-01-01
2011,OCT,Goias,102,2011-01-01
2012,OCT,Goias,34,2012-01-01
2013,OCT,Goias,0,2013-01-01
2014,OCT,Goias,122,2014-01-01
2015,OCT,Goias,21,2015-01-01
2016,OCT,Goias,56,2016-01-01
2017,OCT,Goias,51,2017-01-01
1998,NOV,Goias,21,1998-01-01
1999,NOV,Goias,84,1999-01-01
2000,NOV,Goias,19,2000-01-01
2001,NOV,Goias,66,2001-01-01
2002,NOV,Goias,348,2002-01-01
2003,NOV,Goias,347,2003-01-01
2004,NOV,Goias,279,2004-01-01
2005,NOV,Goias,384,2005-01-01
2006,NOV,Goias,45,2006-01-01
2007,NOV,Goias,26,2007-01-01
2008,NOV,Goias,16,2008-01-01
2009,NOV,Goias,61,2009-01-01
2010,NOV,Goias,88,2010-01-01
2011,NOV,Goias,79,2011-01-01
2012,NOV,Goias,72,2012-01-01
2013,NOV,Goias,84,2013-01-01
2014,NOV,Goias,43,2014-01-01
2015,NOV,Goias,9,2015-01-01
2016,NOV,Goias,156,2016-01-01
2017,NOV,Goias,152,2017-01-01
1998,DEC,Goias,26,1998-01-01
1999,DEC,Goias,89,1999-01-01
2000,DEC,Goias,29,2000-01-01
2001,DEC,Goias,45,2001-01-01
2002,DEC,Goias,76,2002-01-01
2003,DEC,Goias,129,2003-01-01
2004,DEC,Goias,68,2004-01-01
2005,DEC,Goias,17,2005-01-01
2006,DEC,Goias,7,2006-01-01
2007,DEC,Goias,17,2007-01-01
2008,DEC,Goias,29,2008-01-01
2009,DEC,Goias,20,2009-01-01
2010,DEC,Goias,23,2010-01-01
2011,DEC,Goias,24,2011-01-01
2012,DEC,Goias,32,2012-01-01
2013,DEC,Goias,0,2013-01-01
2014,DEC,Goias,45,2014-01-01
2015,DEC,Goias,19,2015-01-01
2016,DEC,Goias,20,2016-01-01
1998,JAN,Maranhao,0,1998-01-01
1999,JAN,Maranhao,54,1999-01-01
2000,JAN,Maranhao,19,2000-01-01
2001,JAN,Maranhao,29,2001-01-01
2002,JAN,Maranhao,48,2002-01-01
2003,JAN,Maranhao,436,2003-01-01
2004,JAN,Maranhao,241,2004-01-01
2005,JAN,Maranhao,450,2005-01-01
2006,JAN,Maranhao,221,2006-01-01
2007,JAN,Maranhao,428,2007-01-01
2008,JAN,Maranhao,121,2008-01-01
2009,JAN,Maranhao,0,2009-01-01
2010,JAN,Maranhao,319,2010-01-01
2011,JAN,Maranhao,124,2011-01-01
2012,JAN,Maranhao,326,2012-01-01
2013,JAN,Maranhao,209,2013-01-01
2014,JAN,Maranhao,195,2014-01-01
2015,JAN,Maranhao,494,2015-01-01
2016,JAN,Maranhao,412,2016-01-01
2017,JAN,Maranhao,187,2017-01-01
1998,FEB,Maranhao,0,1998-01-01
1999,FEB,Maranhao,6,1999-01-01
2000,FEB,Maranhao,11,2000-01-01
2001,FEB,Maranhao,1,2001-01-01
2002,FEB,Maranhao,116,2002-01-01
2003,FEB,Maranhao,11,2003-01-01
2004,FEB,Maranhao,22,2004-01-01
2005,FEB,Maranhao,56,2005-01-01
2006,FEB,Maranhao,22,2006-01-01
2007,FEB,Maranhao,13,2007-01-01
2008,FEB,Maranhao,45,2008-01-01
2009,FEB,Maranhao,20,2009-01-01
2010,FEB,Maranhao,93,2010-01-01
2011,FEB,Maranhao,9,2011-01-01
2012,FEB,Maranhao,46,2012-01-01
2013,FEB,Maranhao,62,2013-01-01
2014,FEB,Maranhao,29,2014-01-01
2015,FEB,Maranhao,95,2015-01-01
2016,FEB,Maranhao,318,2016-01-01
2017,FEB,Maranhao,47,2017-01-01
1998,MAR,Maranhao,0,1998-01-01
1999,MAR,Maranhao,17,1999-01-01
2000,MAR,Maranhao,6,2000-01-01
2001,MAR,Maranhao,0,2001-01-01
2002,MAR,Maranhao,16,2002-01-01
2003,MAR,Maranhao,16,2003-01-01
2004,MAR,Maranhao,18,2004-01-01
2005,MAR,Maranhao,9,2005-01-01
2006,MAR,Maranhao,14,2006-01-01
2007,MAR,Maranhao,52,2007-01-01
2008,MAR,Maranhao,4,2008-01-01
2009,MAR,Maranhao,33,2009-01-01
2010,MAR,Maranhao,82,2010-01-01
2011,MAR,Maranhao,22,2011-01-01
2012,MAR,Maranhao,49,2012-01-01
2013,MAR,Maranhao,30,2013-01-01
2014,MAR,Maranhao,59,2014-01-01
2015,MAR,Maranhao,53,2015-01-01
2016,MAR,Maranhao,113,2016-01-01
2017,MAR,Maranhao,32,2017-01-01
1998,APR,Maranhao,0,1998-01-01
1999,APR,Maranhao,4,1999-01-01
2000,APR,Maranhao,6,2000-01-01
2001,APR,Maranhao,2,2001-01-01
2002,APR,Maranhao,28,2002-01-01
2003,APR,Maranhao,79,2003-01-01
2004,APR,Maranhao,0,2004-01-01
2005,APR,Maranhao,43,2005-01-01
2006,APR,Maranhao,9,2006-01-01
2007,APR,Maranhao,5,2007-01-01
2008,APR,Maranhao,26,2008-01-01
2009,APR,Maranhao,14,2009-01-01
2010,APR,Maranhao,128,2010-01-01
2011,APR,Maranhao,37,2011-01-01
2012,APR,Maranhao,97,2012-01-01
2013,APR,Maranhao,62,2013-01-01
2014,APR,Maranhao,78,2014-01-01
2015,APR,Maranhao,119,2015-01-01
2016,APR,Maranhao,113,2016-01-01
2017,APR,Maranhao,91,2017-01-01
1998,MAY,Maranhao,0,1998-01-01
1999,MAY,Maranhao,3,1999-01-01
2000,MAY,Maranhao,28,2000-01-01
2001,MAY,Maranhao,21,2001-01-01
2002,MAY,Maranhao,71,2002-01-01
2003,MAY,Maranhao,60,2003-01-01
2004,MAY,Maranhao,145,2004-01-01
2005,MAY,Maranhao,74,2005-01-01
2006,MAY,Maranhao,5,2006-01-01
2007,MAY,Maranhao,73,2007-01-01
2008,MAY,Maranhao,26,2008-01-01
2009,MAY,Maranhao,19,2009-01-01
2010,MAY,Maranhao,273,2010-01-01
2011,MAY,Maranhao,73,2011-01-01
2012,MAY,Maranhao,286,2012-01-01
2013,MAY,Maranhao,100,2013-01-01
2014,MAY,Maranhao,148,2014-01-01
2015,MAY,Maranhao,194,2015-01-01
2016,MAY,Maranhao,206,2016-01-01
2017,MAY,Maranhao,142,2017-01-01
1998,JUNE,Maranhao,78,1998-01-01
1999,JUNE,Maranhao,32,1999-01-01
2000,JUNE,Maranhao,94,2000-01-01
2001,JUNE,Maranhao,100,2001-01-01
2002,JUNE,Maranhao,230,2002-01-01
2003,JUNE,Maranhao,338,2003-01-01
2004,JUNE,Maranhao,706,2004-01-01
2005,JUNE,Maranhao,529,2005-01-01
2006,JUNE,Maranhao,131,2006-01-01
2007,JUNE,Maranhao,515,2007-01-01
2008,JUNE,Maranhao,235,2008-01-01
2009,JUNE,Maranhao,279,2009-01-01
2010,JUNE,Maranhao,494,2010-01-01
